,dvcat,weight,Survived,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity,caseid
50,55+,51.3659999999218,Not_Survived,none,none,1,m,30,1997,1988.0,unavail,driver,0,4.0,11:142:1
51,40-54,51.3659999999218,Not_Survived,airbag,none,1,f,18,1997,1996.0,deploy,driver,1,4.0,11:146:1
52,10-24,51.3659999999218,Not_Survived,none,none,1,m,61,1997,1989.0,unavail,driver,0,4.0,11:150:1
53,25-39,67.54699999932201,Not_Survived,none,none,1,f,70,1997,1989.0,unavail,pass,0,4.0,11:159:2
54,10-24,57.0489999996498,Not_Survived,airbag,none,0,m,33,1997,1994.0,nodeploy,driver,0,4.0,11:178:1
55,10-24,57.0489999996498,Not_Survived,airbag,none,0,m,29,1997,1994.0,nodeploy,pass,0,4.0,11:178:1
56,25-39,57.0489999996498,Not_Survived,none,none,0,m,35,1997,1992.0,unavail,driver,0,4.0,11:179:1
57,40-54,192.623999999836,Not_Survived,none,belted,0,m,58,1997,1992.0,unavail,driver,0,4.0,11:207:1
58,55+,31.341999999945998,Not_Survived,none,none,0,m,46,1997,1984.0,unavail,driver,0,4.0,12:12:1
59,10-24,55.612999999895706,Not_Survived,none,none,1,f,91,1997,1991.0,unavail,pass,0,4.0,12:21:2
60,40-54,49.6759999999776,Not_Survived,none,none,0,m,33,1997,1984.0,unavail,driver,0,4.0,12:33:1
61,55+,31.341999999945998,Not_Survived,airbag,none,1,f,47,1997,1997.0,deploy,driver,1,4.0,12:65:1
62,55+,31.341999999945998,Not_Survived,airbag,none,1,m,38,1997,1997.0,deploy,pass,1,4.0,12:65:1
63,40-54,50.837999999988796,Not_Survived,airbag,belted,0,m,33,1997,1995.0,deploy,driver,1,4.0,12:72:1
64,40-54,50.837999999988796,Not_Survived,airbag,belted,0,f,31,1997,1995.0,deploy,pass,1,4.0,12:72:1
65,40-54,50.837999999988796,Not_Survived,none,none,0,m,25,1997,1976.0,unavail,driver,0,4.0,12:73:1
66,25-39,31.341999999945998,Not_Survived,none,belted,1,f,82,1997,1986.0,unavail,pass,0,4.0,12:87:1
67,10-24,31.341999999945998,Not_Survived,none,none,0,m,27,1997,1986.0,unavail,driver,0,4.0,12:117:1
68,10-24,34.0529999998398,Not_Survived,airbag,belted,0,f,78,1997,1995.0,nodeploy,pass,0,3.0,12:127:1
69,40-54,31.341999999945998,Not_Survived,airbag,belted,0,f,75,1997,1994.0,nodeploy,driver,0,4.0,12:139:1
70,25-39,31.6419999999925,Not_Survived,airbag,belted,0,f,59,1997,1996.0,deploy,driver,1,4.0,12:145:1
71,25-39,31.6419999999925,Not_Survived,none,belted,0,f,72,1997,1987.0,unavail,pass,0,4.0,12:146:2
72,10-24,31.6419999999925,Not_Survived,none,belted,1,f,32,1997,1991.0,unavail,driver,0,4.0,12:147:1
73,40-54,31.6419999999925,Not_Survived,none,none,0,f,18,1997,1989.0,unavail,driver,0,4.0,12:148:2
74,40-54,31.341999999945998,Not_Survived,none,none,0,m,18,1997,1979.0,unavail,driver,0,4.0,12:161:1
75,25-39,31.341999999945998,Not_Survived,airbag,none,1,m,22,1997,1997.0,deploy,driver,1,4.0,12:167:1
76,10-24,31.341999999945998,Not_Survived,airbag,none,1,f,45,1997,1997.0,deploy,driver,1,4.0,12:203:1
77,25-39,35.2799999997951,Not_Survived,none,belted,1,m,39,1997,1988.0,unavail,driver,0,4.0,12:234:1
78,55+,35.2799999997951,Not_Survived,none,belted,1,f,47,1997,1991.0,unavail,driver,0,4.0,12:235:2
79,55+,35.2799999997951,Not_Survived,none,belted,1,m,43,1997,1989.0,unavail,driver,0,4.0,12:235:3
80,40-54,31.341999999945998,Not_Survived,airbag,none,0,f,63,1997,1997.0,deploy,driver,1,4.0,12:243:1
81,40-54,89.9199999999255,Not_Survived,airbag,belted,0,f,21,1997,1995.0,nodeploy,driver,0,4.0,13:23:1
82,25-39,89.9199999999255,Not_Survived,none,none,1,f,65,1997,1987.0,unavail,pass,0,4.0,13:122:2
83,40-54,89.9199999999255,Not_Survived,none,none,1,f,70,1997,1990.0,unavail,driver,0,4.0,13:128:2
84,25-39,89.9199999999255,Not_Survived,none,none,1,m,75,1997,1988.0,unavail,pass,0,4.0,13:129:2
85,25-39,89.9199999999255,Not_Survived,airbag,none,0,m,83,1997,1991.0,nodeploy,pass,0,4.0,13:132:2
86,55+,89.9199999999255,Not_Survived,none,none,1,m,20,1997,1990.0,unavail,pass,0,4.0,13:134:1
87,55+,89.9199999999255,Not_Survived,none,none,1,m,74,1997,1986.0,unavail,driver,0,4.0,13:160:1
88,25-39,89.9199999999255,Not_Survived,none,none,1,m,17,1997,1989.0,unavail,driver,0,4.0,13:188:1
89,25-39,35.6129999998957,Not_Survived,none,none,0,m,44,1997,1987.0,unavail,driver,0,4.0,41:27:1
90,55+,30.5039999999572,Not_Survived,airbag,belted,0,f,56,1997,1995.0,deploy,driver,1,4.0,41:59:1
91,40-54,30.5039999999572,Not_Survived,airbag,belted,0,m,29,1997,1995.0,deploy,pass,1,4.0,41:98:1
92,25-39,30.5039999999572,Not_Survived,none,none,0,f,57,1997,1990.0,unavail,pass,0,4.0,41:123:1
93,25-39,32.4859999995679,Not_Survived,airbag,none,0,m,24,1997,1994.0,deploy,driver,1,4.0,41:143:1
94,55+,32.4859999995679,Not_Survived,none,belted,1,m,29,1997,1995.0,unavail,driver,0,4.0,41:144:1
95,25-39,35.008999999612605,Not_Survived,airbag,none,1,m,77,1997,1996.0,deploy,driver,1,3.0,41:157:2
96,55+,39.120999999809996,Not_Survived,airbag,none,0,m,72,1997,1996.0,deploy,driver,1,4.0,41:175:1
97,25-39,30.5039999999572,Not_Survived,none,none,0,f,37,1997,1988.0,unavail,driver,0,4.0,41:179:2
98,40-54,41.2529999995604,Not_Survived,none,belted,1,f,47,1997,1989.0,unavail,driver,0,4.0,43:54:1
99,40-54,41.2529999995604,Not_Survived,airbag,belted,0,f,72,1997,1994.0,deploy,pass,1,4.0,43:78:2
100,55+,41.2529999995604,Not_Survived,none,belted,1,m,55,1997,1986.0,unavail,driver,0,4.0,43:156:1
101,55+,41.2529999995604,Not_Survived,none,none,1,m,26,1997,1978.0,unavail,driver,0,4.0,43:170:1
102,25-39,41.2529999995604,Not_Survived,none,belted,1,f,73,1997,1988.0,unavail,driver,0,4.0,43:176:1
103,40-54,41.2529999995604,Not_Survived,airbag,belted,1,m,23,1997,1995.0,deploy,driver,1,4.0,43:180:1
104,40-54,41.2529999995604,Not_Survived,airbag,none,0,f,22,1997,1995.0,deploy,driver,1,4.0,43:192:1
105,40-54,38.5949999997392,Not_Survived,none,belted,1,f,72,1997,1994.0,unavail,driver,0,3.0,43:202:1
106,40-54,41.2529999995604,Not_Survived,none,none,1,f,27,1997,1984.0,unavail,driver,0,4.0,43:230:2
107,25-39,41.2529999995604,Not_Survived,none,belted,1,m,39,1997,1966.0,unavail,driver,0,4.0,43:231:2
108,55+,63.63299999991429,Not_Survived,none,belted,0,m,70,1997,1987.0,unavail,driver,0,4.0,43:281:1
109,55+,63.63299999991429,Not_Survived,none,belted,0,f,71,1997,1987.0,unavail,pass,0,4.0,43:281:1
110,10-24,77.48599999956791,Not_Survived,none,belted,0,m,82,1997,1992.0,unavail,pass,0,3.0,45:9:1
111,55+,45.2549999998882,Not_Survived,none,belted,1,m,30,1997,1989.0,unavail,driver,0,4.0,45:14:2
112,40-54,52.3449999997392,Not_Survived,none,none,0,f,75,1997,1987.0,unavail,driver,0,4.0,45:17:1
113,55+,63.2719999998808,Not_Survived,none,none,1,f,36,1997,1984.0,unavail,driver,0,4.0,45:20:1
114,55+,52.38199999975039,Not_Survived,none,none,1,m,67,1997,1987.0,unavail,driver,0,4.0,45:46:1
115,25-39,76.3099999995902,Not_Survived,none,none,1,f,73,1997,1990.0,unavail,pass,0,3.0,45:55:2
116,25-39,45.2549999998882,Not_Survived,none,belted,0,f,82,1997,1992.0,unavail,pass,0,4.0,45:78:1
117,10-24,45.2549999998882,Not_Survived,none,none,0,m,24,1997,1985.0,unavail,pass,0,4.0,45:90:1
118,55+,45.2549999998882,Not_Survived,none,none,0,m,83,1997,1986.0,unavail,driver,0,4.0,45:96:1
119,40-54,45.2549999998882,Not_Survived,none,none,1,m,25,1997,1989.0,unavail,driver,0,4.0,45:102:1
120,25-39,45.2549999998882,Not_Survived,none,belted,0,m,16,1997,1994.0,unavail,driver,0,4.0,45:138:1
121,55+,48.5919999997132,Not_Survived,none,belted,1,f,33,1997,1987.0,unavail,driver,0,4.0,45:193:1
122,10-24,83.9469999996945,Not_Survived,none,none,1,m,65,1997,1979.0,unavail,driver,0,3.0,45:196:1
123,55+,59.6229999996722,Not_Survived,none,belted,1,f,16,1997,1990.0,unavail,driver,0,4.0,45:216:1
124,40-54,237.287999998778,Not_Survived,none,belted,0,m,23,1997,1992.0,unavail,pass,0,4.0,48:21:1
125,55+,237.287999998778,Not_Survived,none,none,1,m,44,1997,1979.0,unavail,driver,0,4.0,48:64:1
126,55+,298.2909999974069,Not_Survived,none,none,1,m,35,1997,1997.0,unavail,driver,0,4.0,48:129:1
127,40-54,237.287999998778,Not_Survived,none,belted,0,f,43,1997,1993.0,unavail,driver,0,4.0,48:215:1
128,55+,23.171999999787694,Not_Survived,none,none,1,m,30,1997,1976.0,unavail,driver,0,4.0,49:9:1
129,55+,20.6729999999516,Not_Survived,airbag,belted,0,m,23,1997,1996.0,nodeploy,driver,0,4.0,49:17:1
130,40-54,13.4139999999898,Not_Survived,airbag,belted,0,m,19,1997,1994.0,deploy,driver,1,4.0,49:25:1
131,55+,8.577999999979511,Not_Survived,none,belted,0,m,19,1997,1984.0,unavail,driver,0,4.0,49:53:1
132,55+,8.577999999979511,Not_Survived,none,none,0,m,17,1997,1984.0,unavail,pass,0,4.0,49:53:1
133,40-54,8.577999999979511,Not_Survived,none,belted,0,m,73,1997,1986.0,unavail,driver,0,4.0,49:61:1
134,25-39,12.378999999957196,Not_Survived,none,none,1,m,26,1997,1986.0,unavail,driver,0,4.0,49:69:1
135,55+,8.577999999979511,Not_Survived,none,none,1,m,25,1997,1969.0,unavail,driver,0,4.0,49:73:1
136,25-39,8.577999999979511,Not_Survived,airbag,belted,0,f,24,1997,1996.0,deploy,driver,1,4.0,49:79:1
137,55+,10.6369999999879,Not_Survived,airbag,none,1,f,71,1997,1997.0,deploy,driver,1,4.0,49:97:1
138,55+,8.577999999979511,Not_Survived,none,none,0,m,46,1997,1987.0,unavail,driver,0,4.0,49:103:2
139,40-54,9.78499999991618,Not_Survived,none,none,1,m,21,1997,1992.0,unavail,driver,0,4.0,49:109:1
140,55+,16.3899999998976,Not_Survived,none,none,1,m,34,1997,1992.0,unavail,driver,0,4.0,49:113:1
141,55+,16.3899999998976,Not_Survived,none,none,1,f,31,1997,1992.0,unavail,pass,0,4.0,49:113:1
142,40-54,29.658999999985102,Not_Survived,none,belted,1,m,36,1997,1989.0,unavail,driver,0,4.0,49:117:2
143,55+,8.577999999979511,Not_Survived,none,none,1,f,58,1997,1981.0,unavail,driver,0,4.0,49:126:1
144,55+,10.086999999941302,Not_Survived,none,none,1,m,29,1997,1978.0,unavail,driver,0,4.0,49:137:1
145,55+,13.8999999999069,Not_Survived,none,none,1,m,23,1997,1988.0,unavail,driver,0,4.0,49:156:1
146,10-24,11.4449999999488,Not_Survived,airbag,belted,0,f,84,1997,1995.0,nodeploy,driver,0,4.0,49:173:1
147,40-54,11.4449999999488,Not_Survived,airbag,belted,0,f,71,1997,1993.0,nodeploy,driver,0,4.0,49:175:1
148,25-39,5.99499999999534,Not_Survived,none,belted,1,f,46,1997,1988.0,unavail,driver,0,4.0,49:189:1
149,55+,15.8399999999674,Not_Survived,none,none,1,m,41,1997,1983.0,unavail,driver,0,3.0,72:65:1
150,55+,2.40199999997276,Not_Survived,none,none,0,f,33,1997,1985.0,unavail,driver,0,4.0,72:82:1
151,40-54,13.9679999999935,Not_Survived,airbag,none,1,m,73,1997,1995.0,deploy,driver,1,4.0,72:99:1
152,40-54,14.183999999892,Not_Survived,airbag,none,1,f,62,1997,1996.0,deploy,driver,1,4.0,72:103:1
153,25-39,6.82999999995809,Not_Survived,airbag,none,1,m,24,1997,1993.0,deploy,driver,1,4.0,72:105:1
154,10-24,3.93499999999767,Not_Survived,airbag,none,1,f,24,1997,1992.0,deploy,driver,1,4.0,72:126:1
155,40-54,13.9679999999935,Not_Survived,airbag,none,0,f,49,1997,1997.0,deploy,driver,1,4.0,72:137:1
156,55+,24.5239999999758,Not_Survived,none,none,1,m,75,1997,1982.0,unavail,driver,0,4.0,73:35:1
157,55+,24.5239999999758,Not_Survived,none,none,1,m,33,1997,1963.0,unavail,driver,0,4.0,73:35:2
158,55+,66.61799999978389,Not_Survived,none,none,0,f,57,1997,1981.0,unavail,driver,0,4.0,73:43:1
159,40-54,24.309999999823,Not_Survived,airbag,none,0,f,34,1997,1995.0,deploy,driver,1,4.0,73:53:1
160,25-39,24.309999999823,Not_Survived,none,none,0,m,75,1997,1989.0,unavail,driver,0,4.0,73:69:1
161,40-54,24.309999999823,Not_Survived,airbag,none,0,m,20,1997,1990.0,deploy,driver,1,4.0,73:93:1
162,25-39,24.309999999823,Not_Survived,airbag,none,0,m,40,1997,1992.0,deploy,driver,1,4.0,73:94:1
163,25-39,24.309999999823,Not_Survived,none,none,0,f,57,1997,1992.0,unavail,pass,0,4.0,73:94:1
164,25-39,24.309999999823,Not_Survived,none,belted,1,f,50,1997,1991.0,unavail,driver,0,4.0,73:95:1
165,25-39,24.309999999823,Not_Survived,none,none,1,m,32,1997,1986.0,unavail,driver,0,4.0,73:99:1
166,40-54,24.309999999823,Not_Survived,none,belted,1,m,63,1997,1992.0,unavail,driver,0,4.0,73:100:2
167,25-39,24.309999999823,Not_Survived,none,none,0,f,49,1997,1992.0,unavail,driver,0,4.0,73:103:1
168,10-24,141.240999998525,Not_Survived,airbag,none,1,m,53,1997,1996.0,nodeploy,driver,0,4.0,73:127:1
169,40-54,41.74199999962,Not_Survived,none,none,1,m,74,1997,1988.0,unavail,driver,0,3.0,73:146:1
170,40-54,24.6749999998137,Not_Survived,none,none,0,m,34,1997,1987.0,unavail,driver,0,4.0,73:157:1
171,55+,89.68099999986592,Not_Survived,none,belted,0,f,33,1997,1994.0,unavail,driver,0,4.0,73:169:1
172,55+,89.68099999986592,Not_Survived,none,none,0,f,57,1997,1994.0,unavail,pass,0,4.0,73:169:1
173,55+,17.5819999999367,Not_Survived,none,none,1,f,59,1997,1992.0,unavail,driver,0,4.0,74:20:1
174,40-54,14.0369999998948,Not_Survived,none,none,0,m,35,1997,1971.0,unavail,driver,0,4.0,74:22:1
175,55+,14.159999999916199,Not_Survived,none,none,1,m,36,1997,1981.0,unavail,driver,0,4.0,74:30:1
176,10-24,14.0369999998948,Not_Survived,none,belted,0,f,73,1997,1984.0,unavail,pass,0,4.0,74:54:1
177,40-54,15.896999999997199,Not_Survived,none,none,1,f,17,1997,1986.0,unavail,pass,0,4.0,74:58:1
178,55+,14.0369999998948,Not_Survived,none,none,0,m,17,1997,1979.0,unavail,driver,0,4.0,74:86:2
179,55+,14.0369999998948,Not_Survived,airbag,belted,0,f,25,1997,1995.0,deploy,driver,1,4.0,74:148:1
180,55+,15.6949999999488,Not_Survived,none,belted,1,m,18,1997,1990.0,unavail,pass,0,4.0,74:157:1
181,55+,14.0369999998948,Not_Survived,none,none,0,m,77,1997,1989.0,unavail,driver,0,4.0,74:164:1
182,25-39,14.0369999998948,Not_Survived,none,none,0,f,50,1997,1989.0,unavail,pass,0,4.0,74:165:1
183,55+,45.2489999998361,Not_Survived,none,belted,0,m,56,1997,1986.0,unavail,driver,0,4.0,75:24:1
184,55+,48.3799999998882,Not_Survived,none,none,1,m,21,1997,1977.0,unavail,driver,0,4.0,75:37:1
185,55+,48.3799999998882,Not_Survived,none,none,1,m,21,1997,1977.0,unavail,pass,0,4.0,75:37:1
186,25-39,45.2489999998361,Not_Survived,none,none,1,m,36,1997,1983.0,unavail,driver,0,4.0,75:79:1
187,25-39,45.2489999998361,Not_Survived,none,belted,1,f,74,1997,1994.0,unavail,driver,0,4.0,75:97:2
188,40-54,45.2489999998361,Not_Survived,none,belted,1,f,81,1997,1980.0,unavail,driver,0,4.0,75:151:1
189,25-39,45.2489999998361,Not_Survived,none,belted,1,m,79,1997,1982.0,unavail,driver,0,4.0,75:181:1
190,40-54,45.2489999998361,Not_Survived,airbag,none,1,m,80,1997,1991.0,deploy,driver,1,4.0,75:188:1
191,55+,61.50399999972429,Not_Survived,none,none,1,m,52,1997,1978.0,unavail,driver,0,4.0,78:2:1
192,40-54,66.8079999992624,Not_Survived,airbag,belted,1,m,81,1997,1996.0,deploy,driver,1,4.0,78:9:2
193,10-24,61.50399999972429,Not_Survived,none,belted,1,f,53,1997,1989.0,unavail,driver,0,4.0,78:13:2
194,25-39,69.2679999992251,Not_Survived,none,none,1,f,82,1997,1988.0,unavail,driver,0,4.0,78:15:1
195,10-24,59.982999999541796,Not_Survived,none,none,1,m,73,1997,1985.0,unavail,driver,0,4.0,78:25:2
196,10-24,59.982999999541796,Not_Survived,none,none,1,f,72,1997,1985.0,unavail,pass,0,4.0,78:25:2
197,55+,61.50399999972429,Not_Survived,none,none,0,f,30,1997,1988.0,unavail,driver,0,4.0,78:27:1
198,55+,61.50399999972429,Not_Survived,none,none,0,f,58,1997,1988.0,unavail,pass,0,4.0,78:27:1
199,55+,61.50399999972429,Not_Survived,none,belted,0,m,86,1997,1990.0,unavail,driver,0,4.0,78:71:1
200,55+,61.50399999972429,Not_Survived,none,belted,0,f,87,1997,1990.0,unavail,pass,0,4.0,78:71:1
201,55+,80.79999999981369,Not_Survived,none,belted,1,m,26,1997,1978.0,unavail,driver,0,4.0,78:141:2
202,25-39,8.48099999991246,Not_Survived,none,none,1,m,18,1997,1985.0,unavail,driver,0,4.0,79:8:1
203,55+,5.910999999963678,Not_Survived,none,belted,0,f,76,1997,1985.0,unavail,driver,0,4.0,79:36:2
204,10-24,5.910999999963678,Not_Survived,none,none,1,m,40,1997,1969.0,unavail,driver,0,4.0,79:37:2
205,40-54,5.32399999996414,Not_Survived,none,belted,0,f,52,1997,1989.0,unavail,pass,0,4.0,79:41:1
206,40-54,4.28799999994226,Not_Survived,airbag,belted,0,m,36,1997,1991.0,deploy,driver,1,4.0,79:54:1
207,40-54,4.28799999994226,Not_Survived,none,none,1,f,59,1997,1975.0,unavail,pass,0,4.0,79:58:1
208,55+,4.28799999994226,Not_Survived,none,belted,1,m,29,1997,1987.0,unavail,pass,0,4.0,79:59:1
209,25-39,4.0259999999543705,Not_Survived,airbag,belted,1,f,74,1997,1995.0,deploy,pass,1,3.0,79:75:1
210,55+,3.0349999999743904,Not_Survived,none,none,1,m,20,1997,1988.0,unavail,driver,0,4.0,79:82:1
211,25-39,4.28799999994226,Not_Survived,airbag,belted,1,m,37,1997,1993.0,deploy,driver,1,4.0,79:109:1
212,40-54,4.28799999994226,Not_Survived,none,none,1,m,42,1997,1984.0,unavail,driver,0,4.0,79:116:1
213,25-39,4.28799999994226,Not_Survived,none,belted,0,f,81,1997,1987.0,unavail,pass,0,4.0,79:140:1
214,10-24,4.28799999994226,Not_Survived,none,belted,1,f,97,1997,1983.0,unavail,driver,0,4.0,79:146:1
215,25-39,4.28799999994226,Not_Survived,none,none,0,m,19,1997,1989.0,unavail,driver,0,4.0,79:180:1
216,10-24,37.1299999998882,Not_Survived,none,none,0,m,57,1997,1982.0,unavail,driver,0,4.0,81:42:1
217,25-39,14.1889999998966,Not_Survived,none,none,0,m,25,1997,1982.0,unavail,driver,0,4.0,81:60:1
218,10-24,12.9779999998864,Not_Survived,none,none,1,m,46,1997,1980.0,unavail,driver,0,4.0,81:72:1
219,25-39,8.75299999990966,Not_Survived,none,none,0,f,16,1997,1991.0,unavail,pass,0,4.0,82:1:1
220,10-24,4.73399999999674,Not_Survived,none,none,1,f,63,1997,1990.0,unavail,pass,0,3.0,82:13:2
221,55+,5.530999999959018,Not_Survived,airbag,belted,1,f,19,1997,1996.0,deploy,pass,1,4.0,82:29:1
222,40-54,5.530999999959018,Not_Survived,airbag,belted,1,m,61,1997,1992.0,deploy,driver,1,4.0,82:186:2
223,25-39,5.530999999959018,Not_Survived,none,belted,1,m,43,1997,1991.0,unavail,driver,0,4.0,82:214:1
224,55+,21.864999999990697,Not_Survived,airbag,belted,1,m,34,1998,1995.0,deploy,driver,1,4.0,2:119:2
225,10-24,21.864999999990697,Not_Survived,airbag,belted,1,f,30,1998,1995.0,deploy,driver,1,4.0,2:148:1
226,40-54,41.0079999999143,Not_Survived,airbag,belted,1,m,51,1998,1995.0,deploy,driver,1,4.0,2:154:2
227,25-39,13.283999999985099,Not_Survived,airbag,none,0,m,28,1998,1999.0,deploy,pass,1,4.0,3:30:1
228,40-54,14.282999999937598,Not_Survived,none,belted,1,m,72,1998,1986.0,unavail,driver,0,4.0,4:3:1
229,10-24,10.799999999930199,Not_Survived,airbag,none,1,f,71,1998,1993.0,deploy,driver,1,4.0,4:4:1
230,40-54,10.799999999930199,Not_Survived,none,none,0,m,73,1998,1989.0,unavail,driver,0,4.0,4:32:1
231,40-54,10.799999999930199,Not_Survived,none,belted,0,f,74,1998,1989.0,unavail,pass,0,4.0,4:32:1
232,55+,10.799999999930199,Not_Survived,airbag,none,1,m,22,1998,1995.0,deploy,driver,1,4.0,4:64:1
233,55+,10.799999999930199,Not_Survived,none,none,1,m,49,1998,1978.0,unavail,driver,0,4.0,4:74:1
234,25-39,10.799999999930199,Not_Survived,none,none,0,m,37,1998,1986.0,unavail,driver,0,4.0,4:82:1
235,10-24,47.996999999973895,Not_Survived,none,belted,1,f,68,1998,1988.0,unavail,driver,0,3.0,4:84:1
